subject_name,course_name,absolute_course_url
Mathematics Courses,Advanced Matrix Theory and Linear Algebra for Engineers,https://www.classcentral.com/course/youtube-mathematics-advanced-matrix-theory-and-linear-algebra-for-engineers-47626/classroom
Mathematics Courses,Intro to Inferential Statistics,https://www.classcentral.com/course/udacity-intro-to-inferential-statistics-2310
Mathematics Courses,Basic Linear Algebra,https://www.classcentral.com/course/youtube-jan-2019-basic-linear-algebra-47510/classroom
Mathematics Courses,Computational Geometry,https://www.classcentral.com/course/youtube-computer-computational-geometry-47624/classroom
Mathematics Courses,Computational Geometry,https://www.classcentral.com/course/youtube-computational-geometry-47691/classroom
Mathematics Courses,Transform Calculus and Its Applications in Differential Equation,https://www.classcentral.com/course/youtube-noc-jan-2019-transform-calculus-and-its-applications-in-differential-equation-47356/classroom
Mathematics Courses,Calculus of Variations and Integral Equations,https://www.classcentral.com/course/youtube-mathematics-calculus-of-variations-and-integral-equations-47612/classroom
Mathematics Courses,Integral and Vector Calculus,https://www.classcentral.com/course/youtube-noc-jan-2019-integral-and-vector-calculus-47357/classroom
Mathematics Courses,"Basic Algebraic Geometry : Varieties, Morphisms, Local Rings, Function Fields and Nonsingularity",https://www.classcentral.com/course/youtube-mathematics-basic-algebraic-geometry-nonsingularity-47525/classroom
Mathematics Courses,Nonlinear Dynamics and Chaos,https://www.classcentral.com/course/youtube-nonlinear-dynamics-and-chaos-steven-strogatz-cornell-university-53089/classroom
Mathematics Courses,Modern Algebra,https://www.classcentral.com/course/youtube-modern-algebra-47880/classroom
Mathematics Courses,Linear Regression Analysis and Forecasting,https://www.classcentral.com/course/youtube-linear-regression-analysis-and-forecasting-47783/classroom
Mathematics Courses,Probability and Statistics,https://www.classcentral.com/course/youtube-probability-and-statistics-47803/classroom
Mathematics Courses,Introduction to Geometry,https://www.classcentral.com/course/edx-introduction-to-geometry-2527
Mathematics Courses,An introduction to smooth manifolds.,https://www.classcentral.com/course/youtube-an-introduction-to-smooth-manifolds-47486/classroom
Mathematics Courses,Differential calculus in several variables,https://www.classcentral.com/course/youtube-differential-calculus-in-several-variables-47886/classroom
Mathematics Courses,Linear Algebra,https://www.classcentral.com/course/youtube-linear-algebra-47785/classroom
Mathematics Courses,Linear Algebra,https://www.classcentral.com/course/youtube-linear-algebra-47313/classroom
Mathematics Courses,Algebra 1,https://www.classcentral.com/course/youtube-algebra-1-47386/classroom
Mathematics Courses,Advanced Probability Theory,https://www.classcentral.com/course/youtube-advanced-probability-theory-47693/classroom
Mathematics Courses,Applied Linear Algebra,https://www.classcentral.com/course/youtube-applied-linear-algebra-47373/classroom
